date,location,server,cluster,kpi
2024-01-01,Jaipur,INTEL,10000000000000,95.32
2024-01-02,Jaipur,INTEL,10000000000000,31.81
2024-01-03,Jaipur,INTEL,10000000000000,94.36
2024-01-04,Jaipur,INTEL,10000000000000,69.66
2024-01-05,Jaipur,INTEL,10000000000000,12.53
2024-01-06,Jaipur,INTEL,10000000000000,71.09
2024-01-07,Jaipur,INTEL,10000000000000,72.85
2024-01-08,Jaipur,INTEL,10000000000000,78.64
2024-01-09,Jaipur,INTEL,10000000000000,64.61
2024-01-10,Jaipur,INTEL,10000000000000,53.96
2024-01-11,Jaipur,INTEL,10000000000000,35.09
2024-01-12,Jaipur,INTEL,10000000000000,53.68
2024-01-13,Jaipur,INTEL,10000000000000,28.52
2024-01-14,Jaipur,INTEL,10000000000000,46.2
2024-01-15,Jaipur,INTEL,10000000000000,96.82
2024-01-16,Jaipur,INTEL,10000000000000,43.61
2024-01-17,Jaipur,INTEL,10000000000000,31.62
2024-01-18,Jaipur,INTEL,10000000000000,39.16
2024-01-19,Jaipur,INTEL,10000000000000,56.25
2024-01-20,Jaipur,INTEL,10000000000000,75.41
2024-01-21,Jaipur,INTEL,10000000000000,73.57
2024-01-22,Jaipur,INTEL,10000000000000,49.0
2024-01-23,Jaipur,INTEL,10000000000000,26.04
2024-01-24,Jaipur,INTEL,10000000000000,89.84
2024-01-25,Jaipur,INTEL,10000000000000,39.55
2024-01-26,Jaipur,INTEL,10000000000000,55.58
2024-01-27,Jaipur,INTEL,10000000000000,82.26
2024-01-28,Jaipur,INTEL,10000000000000,18.94
2024-01-29,Jaipur,INTEL,10000000000000,93.07
2024-01-30,Jaipur,INTEL,10000000000000,49.59
2024-01-01,Jaipur,INTEL,10000000000001,87.01
2024-01-02,Jaipur,INTEL,10000000000001,68.54
2024-01-03,Jaipur,INTEL,10000000000001,80.01
2024-01-04,Jaipur,INTEL,10000000000001,74.35
2024-01-05,Jaipur,INTEL,10000000000001,31.66
2024-01-06,Jaipur,INTEL,10000000000001,24.01
2024-01-07,Jaipur,INTEL,10000000000001,97.43
2024-01-08,Jaipur,INTEL,10000000000001,90.21
2024-01-09,Jaipur,INTEL,10000000000001,17.0
2024-01-10,Jaipur,INTEL,10000000000001,58.37
2024-01-11,Jaipur,INTEL,10000000000001,76.46
2024-01-12,Jaipur,INTEL,10000000000001,68.22
2024-01-13,Jaipur,INTEL,10000000000001,43.83
2024-01-14,Jaipur,INTEL,10000000000001,34.96
2024-01-15,Jaipur,INTEL,10000000000001,21.7
2024-01-16,Jaipur,INTEL,10000000000001,49.77
2024-01-17,Jaipur,INTEL,10000000000001,27.25
2024-01-18,Jaipur,INTEL,10000000000001,76.66
2024-01-19,Jaipur,INTEL,10000000000001,54.29
2024-01-20,Jaipur,INTEL,10000000000001,86.79
2024-01-21,Jaipur,INTEL,10000000000001,9.64
2024-01-22,Jaipur,INTEL,10000000000001,71.74
2024-01-23,Jaipur,INTEL,10000000000001,46.35
2024-01-24,Jaipur,INTEL,10000000000001,26.61
2024-01-25,Jaipur,INTEL,10000000000001,60.24
2024-01-26,Jaipur,INTEL,10000000000001,80.03
2024-01-27,Jaipur,INTEL,10000000000001,78.7
2024-01-28,Jaipur,INTEL,10000000000001,53.96
2024-01-29,Jaipur,INTEL,10000000000001,32.88
2024-01-30,Jaipur,INTEL,10000000000001,91.45
2024-01-01,Jaipur,AMD,10000000000002,86.66
2024-01-02,Jaipur,AMD,10000000000002,43.06
2024-01-03,Jaipur,AMD,10000000000002,20.17
2024-01-04,Jaipur,AMD,10000000000002,99.79
2024-01-05,Jaipur,AMD,10000000000002,101.02
2024-01-06,Jaipur,AMD,10000000000002,83.83
2024-01-07,Jaipur,AMD,10000000000002,23.21
2024-01-08,Jaipur,AMD,10000000000002,28.8
2024-01-09,Jaipur,AMD,10000000000002,23.76
2024-01-10,Jaipur,AMD,10000000000002,30.38
2024-01-11,Jaipur,AMD,10000000000002,40.8
2024-01-12,Jaipur,AMD,10000000000002,85.33
2024-01-13,Jaipur,AMD,10000000000002,32.86
2024-01-14,Jaipur,AMD,10000000000002,41.36
2024-01-15,Jaipur,AMD,10000000000002,42.93
2024-01-16,Jaipur,AMD,10000000000002,48.44
2024-01-17,Jaipur,AMD,10000000000002,35.68
2024-01-18,Jaipur,AMD,10000000000002,94.85
2024-01-19,Jaipur,AMD,10000000000002,53.47
2024-01-20,Jaipur,AMD,10000000000002,21.66
2024-01-21,Jaipur,AMD,10000000000002,12.44
2024-01-22,Jaipur,AMD,10000000000002,99.53
2024-01-23,Jaipur,AMD,10000000000002,10.79
2024-01-24,Jaipur,AMD,10000000000002,75.08
2024-01-25,Jaipur,AMD,10000000000002,78.8
2024-01-26,Jaipur,AMD,10000000000002,35.37
2024-01-27,Jaipur,AMD,10000000000002,72.51
2024-01-28,Jaipur,AMD,10000000000002,90.08
2024-01-29,Jaipur,AMD,10000000000002,27.54
2024-01-30,Jaipur,AMD,10000000000002,28.39
2024-01-01,Jaipur,AMD,10000000000003,31.74
2024-01-02,Jaipur,AMD,10000000000003,56.4
2024-01-03,Jaipur,AMD,10000000000003,64.14
2024-01-04,Jaipur,AMD,10000000000003,31.63
2024-01-05,Jaipur,AMD,10000000000003,77.95
2024-01-06,Jaipur,AMD,10000000000003,79.86
2024-01-07,Jaipur,AMD,10000000000003,44.12
2024-01-08,Jaipur,AMD,10000000000003,63.25
2024-01-09,Jaipur,AMD,10000000000003,15.79
2024-01-10,Jaipur,AMD,10000000000003,52.48
2024-01-11,Jaipur,AMD,10000000000003,82.41
2024-01-12,Jaipur,AMD,10000000000003,18.17
2024-01-13,Jaipur,AMD,10000000000003,87.33
2024-01-14,Jaipur,AMD,10000000000003,67.77
2024-01-15,Jaipur,AMD,10000000000003,63.68
2024-01-16,Jaipur,AMD,10000000000003,15.48
2024-01-17,Jaipur,AMD,10000000000003,70.09
2024-01-18,Jaipur,AMD,10000000000003,14.67
2024-01-19,Jaipur,AMD,10000000000003,94.05
2024-01-20,Jaipur,AMD,10000000000003,95.55
2024-01-21,Jaipur,AMD,10000000000003,33.2
2024-01-22,Jaipur,AMD,10000000000003,18.25
2024-01-23,Jaipur,AMD,10000000000003,30.58
2024-01-24,Jaipur,AMD,10000000000003,44.33
2024-01-25,Jaipur,AMD,10000000000003,57.87
2024-01-26,Jaipur,AMD,10000000000003,75.57
2024-01-27,Jaipur,AMD,10000000000003,22.71
2024-01-28,Jaipur,AMD,10000000000003,43.96
2024-01-29,Jaipur,AMD,10000000000003,34.71
2024-01-30,Jaipur,AMD,10000000000003,95.99
2024-01-01,Jaipur,AMD,10000000000004,97.62
2024-01-02,Jaipur,AMD,10000000000004,83.3
2024-01-03,Jaipur,AMD,10000000000004,77.35
2024-01-04,Jaipur,AMD,10000000000004,99.12
2024-01-05,Jaipur,AMD,10000000000004,80.12
2024-01-06,Jaipur,AMD,10000000000004,51.29
2024-01-07,Jaipur,AMD,10000000000004,43.0
2024-01-08,Jaipur,AMD,10000000000004,12.78
2024-01-09,Jaipur,AMD,10000000000004,85.46
2024-01-10,Jaipur,AMD,10000000000004,91.38
2024-01-11,Jaipur,AMD,10000000000004,16.42
2024-01-12,Jaipur,AMD,10000000000004,90.27
2024-01-13,Jaipur,AMD,10000000000004,83.72
2024-01-14,Jaipur,AMD,10000000000004,26.21
2024-01-15,Jaipur,AMD,10000000000004,74.35
2024-01-16,Jaipur,AMD,10000000000004,18.43
2024-01-17,Jaipur,AMD,10000000000004,16.99
2024-01-18,Jaipur,AMD,10000000000004,53.54
2024-01-19,Jaipur,AMD,10000000000004,35.02
2024-01-20,Jaipur,AMD,10000000000004,55.24
2024-01-21,Jaipur,AMD,10000000000004,75.11
2024-01-22,Jaipur,AMD,10000000000004,45.53
2024-01-23,Jaipur,AMD,10000000000004,25.29
2024-01-24,Jaipur,AMD,10000000000004,35.31
2024-01-25,Jaipur,AMD,10000000000004,34.58
2024-01-26,Jaipur,AMD,10000000000004,82.13
2024-01-27,Jaipur,AMD,10000000000004,44.06
2024-01-28,Jaipur,AMD,10000000000004,10.68
2024-01-29,Jaipur,AMD,10000000000004,60.07
2024-01-30,Jaipur,AMD,10000000000004,93.75
2024-01-01,Jaipur,AMD,10000000000005,22.31
2024-01-02,Jaipur,AMD,10000000000005,27.76
2024-01-03,Jaipur,AMD,10000000000005,85.15
2024-01-04,Jaipur,AMD,10000000000005,97.64
2024-01-05,Jaipur,AMD,10000000000005,46.23
2024-01-06,Jaipur,AMD,10000000000005,77.87
2024-01-07,Jaipur,AMD,10000000000005,73.81
2024-01-08,Jaipur,AMD,10000000000005,45.16
2024-01-09,Jaipur,AMD,10000000000005,12.37
2024-01-10,Jaipur,AMD,10000000000005,27.35
2024-01-11,Jaipur,AMD,10000000000005,103.29
2024-01-12,Jaipur,AMD,10000000000005,72.47
2024-01-13,Jaipur,AMD,10000000000005,32.49
2024-01-14,Jaipur,AMD,10000000000005,58.42
2024-01-15,Jaipur,AMD,10000000000005,18.68
2024-01-16,Jaipur,AMD,10000000000005,89.62
2024-01-17,Jaipur,AMD,10000000000005,55.14
2024-01-18,Jaipur,AMD,10000000000005,70.68
2024-01-19,Jaipur,AMD,10000000000005,93.78
2024-01-20,Jaipur,AMD,10000000000005,47.93
2024-01-21,Jaipur,AMD,10000000000005,20.87
2024-01-22,Jaipur,AMD,10000000000005,76.19
2024-01-23,Jaipur,AMD,10000000000005,44.9
2024-01-24,Jaipur,AMD,10000000000005,82.86
2024-01-25,Jaipur,AMD,10000000000005,24.1
2024-01-26,Jaipur,AMD,10000000000005,67.56
2024-01-27,Jaipur,AMD,10000000000005,64.37
2024-01-28,Jaipur,AMD,10000000000005,41.48
2024-01-29,Jaipur,AMD,10000000000005,91.52
2024-01-30,Jaipur,AMD,10000000000005,23.48
2024-01-01,Jaipur,INTEL,10000000000006,64.52
2024-01-02,Jaipur,INTEL,10000000000006,52.66
2024-01-03,Jaipur,INTEL,10000000000006,23.72
2024-01-04,Jaipur,INTEL,10000000000006,33.22
2024-01-05,Jaipur,INTEL,10000000000006,49.36
2024-01-06,Jaipur,INTEL,10000000000006,26.33
2024-01-07,Jaipur,INTEL,10000000000006,101.3
2024-01-08,Jaipur,INTEL,10000000000006,52.74
2024-01-09,Jaipur,INTEL,10000000000006,36.29
2024-01-10,Jaipur,INTEL,10000000000006,24.51
2024-01-11,Jaipur,INTEL,10000000000006,87.88
2024-01-12,Jaipur,INTEL,10000000000006,91.57
2024-01-13,Jaipur,INTEL,10000000000006,74.95
2024-01-14,Jaipur,INTEL,10000000000006,80.12
2024-01-15,Jaipur,INTEL,10000000000006,50.7
2024-01-16,Jaipur,INTEL,10000000000006,77.7
2024-01-17,Jaipur,INTEL,10000000000006,97.48
2024-01-18,Jaipur,INTEL,10000000000006,48.67
2024-01-19,Jaipur,INTEL,10000000000006,58.35
2024-01-20,Jaipur,INTEL,10000000000006,47.19
2024-01-21,Jaipur,INTEL,10000000000006,44.45
2024-01-22,Jaipur,INTEL,10000000000006,54.12
2024-01-23,Jaipur,INTEL,10000000000006,59.12
2024-01-24,Jaipur,INTEL,10000000000006,42.6
2024-01-25,Jaipur,INTEL,10000000000006,38.65
2024-01-26,Jaipur,INTEL,10000000000006,49.45
2024-01-27,Jaipur,INTEL,10000000000006,98.3
2024-01-28,Jaipur,INTEL,10000000000006,38.34
2024-01-29,Jaipur,INTEL,10000000000006,30.96
2024-01-30,Jaipur,INTEL,10000000000006,37.67
2024-01-01,Jaipur,INTEL,10000000000007,101.08
2024-01-02,Jaipur,INTEL,10000000000007,77.4
2024-01-03,Jaipur,INTEL,10000000000007,18.18
2024-01-04,Jaipur,INTEL,10000000000007,57.75
2024-01-05,Jaipur,INTEL,10000000000007,26.17
2024-01-06,Jaipur,INTEL,10000000000007,14.71
2024-01-07,Jaipur,INTEL,10000000000007,35.42
2024-01-08,Jaipur,INTEL,10000000000007,22.26
2024-01-09,Jaipur,INTEL,10000000000007,64.36
2024-01-10,Jaipur,INTEL,10000000000007,79.15
2024-01-11,Jaipur,INTEL,10000000000007,16.46
2024-01-12,Jaipur,INTEL,10000000000007,65.73
2024-01-13,Jaipur,INTEL,10000000000007,49.48
2024-01-14,Jaipur,INTEL,10000000000007,24.36
2024-01-15,Jaipur,INTEL,10000000000007,95.01
2024-01-16,Jaipur,INTEL,10000000000007,67.8
2024-01-17,Jaipur,INTEL,10000000000007,15.16
2024-01-18,Jaipur,INTEL,10000000000007,17.59
2024-01-19,Jaipur,INTEL,10000000000007,75.26
2024-01-20,Jaipur,INTEL,10000000000007,48.0
2024-01-21,Jaipur,INTEL,10000000000007,64.61
2024-01-22,Jaipur,INTEL,10000000000007,34.64
2024-01-23,Jaipur,INTEL,10000000000007,97.74
2024-01-24,Jaipur,INTEL,10000000000007,83.27
2024-01-25,Jaipur,INTEL,10000000000007,37.36
2024-01-26,Jaipur,INTEL,10000000000007,31.54
2024-01-27,Jaipur,INTEL,10000000000007,48.47
2024-01-28,Jaipur,INTEL,10000000000007,62.7
2024-01-29,Jaipur,INTEL,10000000000007,55.13
2024-01-30,Jaipur,INTEL,10000000000007,14.78
2024-01-01,Jaipur,INTEL,10000000000008,91.76
2024-01-02,Jaipur,INTEL,10000000000008,41.52
2024-01-03,Jaipur,INTEL,10000000000008,16.7
2024-01-04,Jaipur,INTEL,10000000000008,29.2
2024-01-05,Jaipur,INTEL,10000000000008,54.96
2024-01-06,Jaipur,INTEL,10000000000008,39.66
2024-01-07,Jaipur,INTEL,10000000000008,100.44
2024-01-08,Jaipur,INTEL,10000000000008,40.2
2024-01-09,Jaipur,INTEL,10000000000008,31.04
2024-01-10,Jaipur,INTEL,10000000000008,70.24
2024-01-11,Jaipur,INTEL,10000000000008,23.72
2024-01-12,Jaipur,INTEL,10000000000008,25.88
2024-01-13,Jaipur,INTEL,10000000000008,39.92
2024-01-14,Jaipur,INTEL,10000000000008,92.6
2024-01-15,Jaipur,INTEL,10000000000008,62.95
2024-01-16,Jaipur,INTEL,10000000000008,65.8
2024-01-17,Jaipur,INTEL,10000000000008,77.08
2024-01-18,Jaipur,INTEL,10000000000008,20.69
2024-01-19,Jaipur,INTEL,10000000000008,77.34
2024-01-20,Jaipur,INTEL,10000000000008,17.54
2024-01-21,Jaipur,INTEL,10000000000008,60.45
2024-01-22,Jaipur,INTEL,10000000000008,18.14
2024-01-23,Jaipur,INTEL,10000000000008,56.98
2024-01-24,Jaipur,INTEL,10000000000008,87.99
2024-01-25,Jaipur,INTEL,10000000000008,69.91
2024-01-26,Jaipur,INTEL,10000000000008,40.55
2024-01-27,Jaipur,INTEL,10000000000008,41.27
2024-01-28,Jaipur,INTEL,10000000000008,59.86
2024-01-29,Jaipur,INTEL,10000000000008,62.73
2024-01-30,Jaipur,INTEL,10000000000008,64.31
2024-01-01,Jaipur,AMD,10000000000009,14.39
2024-01-02,Jaipur,AMD,10000000000009,92.49
2024-01-03,Jaipur,AMD,10000000000009,95.55
2024-01-04,Jaipur,AMD,10000000000009,98.09
2024-01-05,Jaipur,AMD,10000000000009,18.83
2024-01-06,Jaipur,AMD,10000000000009,63.05
2024-01-07,Jaipur,AMD,10000000000009,24.35
2024-01-08,Jaipur,AMD,10000000000009,21.51
2024-01-09,Jaipur,AMD,10000000000009,43.73
2024-01-10,Jaipur,AMD,10000000000009,26.8
2024-01-11,Jaipur,AMD,10000000000009,55.01
2024-01-12,Jaipur,AMD,10000000000009,44.42
2024-01-13,Jaipur,AMD,10000000000009,81.41
2024-01-14,Jaipur,AMD,10000000000009,90.04
2024-01-15,Jaipur,AMD,10000000000009,44.14
2024-01-16,Jaipur,AMD,10000000000009,68.75
2024-01-17,Jaipur,AMD,10000000000009,23.47
2024-01-18,Jaipur,AMD,10000000000009,29.25
2024-01-19,Jaipur,AMD,10000000000009,66.49
2024-01-20,Jaipur,AMD,10000000000009,27.68
2024-01-21,Jaipur,AMD,10000000000009,20.65
2024-01-22,Jaipur,AMD,10000000000009,12.41
2024-01-23,Jaipur,AMD,10000000000009,8.22
2024-01-24,Jaipur,AMD,10000000000009,85.96
2024-01-25,Jaipur,AMD,10000000000009,31.87
2024-01-26,Jaipur,AMD,10000000000009,42.99
2024-01-27,Jaipur,AMD,10000000000009,29.16
2024-01-28,Jaipur,AMD,10000000000009,95.87
